names	artist_id
Carroll Thompson	AR009211187B989185
The Meatmen	AR00A6H1187FB5402A
Bruce BecVar	AR00LNI1187FB444A5
Memphis Minnie	AR00MBZ1187B9B5DB1
Call To Preserve	AR01IP11187B9AF5D2
Grand Funk	AR01VU31187B997DA0
3OH!3	AR01W2D1187FB5912F
Ross	AR022JO1187B99587B
Annie Philippe	AR02DB61187B9A0B5E
Tito Puente	AR02IU11187FB513F2
Hi-Fi Companions	AR02KZG1187FB3B3B4
Delta 9	AR02PUA1187FB52574
Bersuit Vergarabat	AR02YGA1187B9B8AC4
BT	AR035N21187FB3938E
John Williams	AR039B11187B9B30D0
Britney Spears	AR03BDP1187FB5B324
Sylver	AR03GWG1187B9B6C85
The Bug Featuring Ricky Ranking	AR040M31187B98CA41
Alexisonfire	AR040QX1187FB4CFE1
Yellowcard	AR048JZ1187B9AEB85
The Disposable Heroes Of Hiphoprisy	AR04KTB1187B99B6B7
Dead Kennedys	AR050VJ1187B9B13A7
Wilks featuring pee wee ellis	AR051KA1187B98B2FF
Mike Bloomfield	AR0569B1187B9A4036
Roy Drusky	AR059HI1187B9A14D7
Alex Ubago	AR05IU31187B9B9A1A
D'Molls	AR05KQA1187B9963B3
Kassav'	AR05NQH1187B98E875
Ol' Dirty Bastard	AR05OJD1187B9B99A6
Fudge Tunnel	AR05VW21187FB407B4
Mat Maneri	AR05XFO1187FB4DAE5
Ximena Sarinana	AR061J011A348F060F
Dusminguet	AR0693R1187FB59D32
NOFX	AR06EB01187FB40150
Chico Cesar	AR06EHB1187FB42914
MU330	AR06IFV1187B9977EC
Mississippi Fred McDowell	AR06M3F1187FB38BED
The Lord Weird Slough Feg	AR06USW1187FB4EACA
Seventh Star	AR07CRG1187FB594FA
Lil' Band O' Gold	AR07HWO1187B9A2189
Letters To Cleo	AR07QYZ1187FB5BF78
Mungo Jerry	AR07VS41187FB37944
Reach 454	AR08DYV1187B99A0D7
Daath	AR08GQF1187B98E316
Die Symphony	AR08NXW1187B99526D
The Freedom	AR08YJF1187B9B2D59
M.A. Numminen	AR0A30G1187B9B183B
Regina Belle	AR0AVIB1187FB37D01
Charlie Rich	AR0B1CH1187FB3A824
Why?	AR0B3RS1187FB48F5D
Silvério Pessoa	AR0B5HI1187B9B9DB9
Uphill Battle	AR0B6VD1187B99C293
Fyah Blaze	AR0B8CT1187B9B2CF3
Jeremy Fisher	AR0B9V01187FB55276
The Dreamtree Project	AR0BATO119B34038DB
The In Crowd / Jah Stitch	AR0BLA51187FB4E6CD
Lee Ritenour	AR0BV7E1187FB386C1
Dilated Peoples	AR0CANF1187B9AF35F
Asleep At The Wheel	AR0CDSK1187FB52ED6
Christophe Beck	AR0CWOB1187B99FA08
José Augusto	AR0CWSC1187B9AFE3F
Obie Bermudez	AR0CZWN1187B9A47E2
Eazy-E	AR0D6EL1187B9AF46B
Daniel Chan	AR0DQEE1187B9A22DC
Wailing Souls	AR0DSOO1187B9B855E
Eddie Henderson	AR0DTOH1187FB4B83A
Ras Michael and the Sons of Negus	AR0FGL21187FB56301
Eduardo Dusek	AR0FQ071187B9ACEC0
Frank Chacksfield	AR0G47L1187B98CC6D
Dean Evenson	AR0GB821187B99FE96
Eddie	AR0GGKI1187FB391D5
Enslavement Of Beauty	AR0I2BV1187FB3D89F
Danilo Perez	AR0IAWL1187B9A96D0
Mouth Of The Architect	AR0ILWV1187FB47CAA
Helmet	AR0IVSA1187FB4F069
The Scare	AR0J0OD1187FB3AFB5
Erik Berglund	AR0JEOI1187B98B918
Lyrics Born	AR0JPOG1187FB37383
Illya Kuryaki And The Valderramas	AR0JURX1187FB3C8FF
Oscar Lima	AR0JVUH1187B9918B5
Slipknot	AR0KBXO1187B996460
Patrick Samson	AR0LCRP1187B9B4C5A
Derek Bell	AR0LPDJ1187B9919F1
Jason Miles	AR0LVFQ1187B9A84E0
The Master Musicians of Jajouka featuring Bachir Attar	AR0N0DX1187FB41327
Kaizers Orchestra	AR0N8D61187FB3D0D6
Gene Pitney	AR0N9BV1187FB3AD01
Neil Innes	AR0NKFJ1187B9AF1FF
Gary Morris	AR0NQD81187FB3AD13
Zuma	AR0NS5Z1187B99AF79
Wayne Kramer	AR0O3AV1187FB4D030
Catherine Howe	AR0OEYB1187FB4A81E
Kirk Franklin	AR0OQPL1187B9B549A
Los Del Rio	AR0OTEX1187FB3600D
Marvin Hamlisch	AR0PUK71187B9AC3C0
Dallas Holm	AR0Q5531187FB45143
Clara Nunes	AR0QL3J1187FB3748E
Sandy Lam	AR0QS8F1187B9ADC96
Ronnie Drew	AR0QT3O1187FB56860
Billie Jo Spears	AR0RCMP1187FB3F427
Disco D	AR0S0EO1187FB490BE
Christina Aguilera	AR0S7TA1187FB4D024
Esion Jim	AR0SG9V1187FB48F36
For Squirrels	AR0SY101187B9B44BE
Beat Pharmacy	AR0SZW11187B98C5E5
Dave "Baby" Cortez	AR0TZ7T1187B994E37
Republica;Jonny Male;Dave Arch	AR0U44O1187B99007C
Sukhbir	AR0V0SR1187B99DDB4
The Chieftains;Colin James	AR0V36F1187FB366B1
The Products	AR0VIQV1187B9978F8
Truckfighters	AR0VR1O1187B9A0F1F
Rocky Hill	AR0VS771187B99564F
The Berzerker	AR0VZWC1187B99BA57
Doug MacLeod	AR0WAW61187B98B7D7
Tommy Torres	AR0WCZW1187B99F592
Slum Village	AR0WGXC1187B9AAC99
Owl City	AR0WLH6119B8669027
Marc Et Claude	AR0WM6W1187FB46730
Richard Smith	AR0WQ1Q1187B992E16
Rhian Benson	AR0WV4Y1187B99B806
The Red Telephone	AR0WXWU1187B9AB33F
Hank Locklin	AR0X3JJ1187FB3A9A7
Drexel	AR0XJ291187FB45855
Buzzcocks	AR0XSOO1187B9B9E88
Dala	AR0ZBRM1187FB54F5E
Tabu feat. Mitzib	AR1072G1187FB5B351
Bézu	AR107SB1187B9A79F9
JK	AR109IQ1187B98E487
Silverstein	AR10USD1187B99F3F1
The Roches	AR11NP91187B9901B4
Dixie Chicks	AR11YQ81187FB3C654
Albert Préjean	AR1206S1187B9AF3EA
Candy Lo	AR126G61187B9B88A6
The Pineapple Thief	AR12EOE1187FB3AE26
Aerosmith	AR12F2S1187FB56EEF
Ricardo Lemvo	AR12MUW1187B9A5DF4
Daylight Torn	AR12P091187B99B50F
Charlie Byrd Trio	AR137UW1187B98CCBA
The Clash	AR13CXU1187B9AD30A
Eddy Arnold	AR14CJ91187FB3A994
Poptart Monkeys	AR1518Q1187B98A906
Chaka Demus & Pliers	AR15FQ11187FB36BE8
Natassa Theodoridou	AR15O341187B9B182C
John Tchicai	AR15YLD1187FB3D4DD
Terry Dexter	AR163QH1187FB42E0D
Eagles	AR16GSC1187B9A6291
Kruger	AR16NGV1187FB5B8BC
Zimbabwe Legit	AR16T2D1187B98ABF4
Donnie Brooks	AR180PG1187B997BAE
Gustavo Cerati	AR189B91187B9B8D9C
F.I.R.	AR18AJW1187FB3F9FA
Louisa Mark	AR18B3W1187B9A5AAA
Dope Stars Inc.	AR18SS11187FB4852B
Neon Blonde	AR18VAV1187B9AEC0C
Sick Puppies	AR190KO1187B9905EC
Simply Red	AR198711187B9AD09F
Madilu System	AR199MY1187B9B731E
The Bucketheads	AR19GQN1187FB3ACF5
Captain Hollywood Project	AR19JS91187B98CB66
Cassidy	AR19QNR1187B9A13C5
Kako	AR19QZ01187B99C74D
Bob Neuwirth	AR19SOA1187B98F6E6
Alice Cooper	AR1ABAO1187FB531E1
Theodor Zox	AR1AIC51187B98C03F
Helen O'Connell	AR1BA6K1187B9A5656
Wendy Moten	AR1BZED1187FB4CDEE
Electric Light Orchestra	AR1CB5G1187B9AFB8E
Pat Metheny	AR1CD5Z1187B98F2C2
Statues	AR1DC0611A348EFB30
Eddie Turner	AR1DGSO1187FB59B15
4Him	AR1DLF21187FB3CBF0
Kathy Mattea	AR1DR0E1187FB48F61
Telecast	AR1E4V11187B99F400
The Galactic Heroes	AR1F3IJ1187B9980B4
Angela Stewart	AR1FOAY11C8A415F1E
The Exies	AR1GNFR1187B9AD1FD
Prince With 94 East	AR1GW0U1187B9B29FD
Diesel Boy	AR1GYND1187B9A9CD3
Sunidhi Chauhan / Anu Malik / Jatin Sharma	AR1H4F51187B9946A5
TYR	AR1HK7B1187FB55747
SKYCLAD	AR1I9KS1187B9AEFD4
Rhinostar	AR1IL0W1187FB58B65
Joanna Connor	AR1IY3B1187B98B384
The Katinas	AR1IY711187B9B0B50
First Blood	AR1J7881187B9959D8
James Last	AR1JD6E1187FB5696C
Dead Hearts	AR1JEKW1187B9ADFBE
Jo-El Sonnier	AR1JGQT1187FB56878
The Knux	AR1K7TQ11C8A414EC8
Lara	AR1KMPF1187B99AA98
Weedeater	AR1LG7D1187B99BAFF
Bruce Carroll	AR1LKDU1187B991E0B
La Portuaria	AR1LQNB1187B9A6AE5
Winston McAnuff_ The Bazbaz Orchestra	AR1M7ZD1187B9B0D55
Andres Calamaro	AR1N3PB1187B9B25C1
Mongo Santamaria	AR1N6N61187FB4E25E
22-20s	AR1NJEP1187FB4F4C1
Jazzy B	AR1NRA91187FB404C3
Skrape	AR1NT3H1187B99F67B
Behemoth	AR1OBRC1187FB59AD4
Angelo Badalamenti	AR1PCLK1187FB5BBFF
El Gran Combo De Puerto Rico	AR1PNWN1187FB4A404
Hélio Ziskind	AR1PQYO1187B98BEC9
Generation X	AR1PRQ21187FB3B481
Aurlus Mabélé	AR1PXQC1187B99E17A
De La Soul / MF Doom	AR1Q25M1187B9B0D73
Sticky Fingaz	AR1QXAQ1187FB47FAC
Vince Guaraldi Trio	AR1RHCO1187B9AF0BF
Lambda	AR1RKB91187B9A56CB
Incubus	AR1RMYB1187FB5A59E
Fastball	AR1RNCJ1187FB3D227
Mick Clarke	AR1RZ1E1187FB5A62E
Chris Eaton	AR1S5O61187B9898AC
Lauren Wood	AR1SFKQ1187B98AF13
Kent	AR1SQSG1187B9AC782
Kira	AR1SYBE1187B992798
God Lives Underwater	AR1U3BY1187B9B136F
Tullycraft	AR1USMR1187B9B6CD1
Rod Piazza & The Mighty Flyers	AR1VB2W1187B9901C5
Tum Tum [DJ Drop Mix]	AR1VCLT1187FB4C8AC
The Animals_ Sonny Boy Williamson	AR1VWD91187FB4CE99
Danny Wright	AR1W3MA1187B99E6D8
Jefferson Starship	AR1WC0X1187B991056
Buzzov¬"en	AR1WDRJ1187B9BA4B8
Dealership	AR1WLWQ1187B989B85
Terry Riley	AR1WU211187FB57E2B
Maurice Chevalier	AR1X2H01187B98CCF2
Ruben Cossani	AR1XA631187FB57662
Kane	AR1XE381187FB4C685
Koordinate Of Wonders	AR1XR3N1187FB372C5
Natalie MacMaster	AR1XUYS1187B9A44D7
